chunksize, num_threads, reps, t1, res1, t2, res2 
64, 4, 07, -343021.474766, 0.449042, -25242644.603147, 4.922713
64, 4, 08, -343021.474766, 0.435351, -25242644.603147, 4.919974
64, 4, 09, -343021.474766, 0.442347, -25242644.603147, 4.921993
64, 4, 10, -343021.474766, 0.426272, -25242644.603147, 4.920386
64, 6, 01, -343021.474766, 0.307657, -25242644.603147, 4.922705
64, 6, 02, -343021.474766, 0.307961, -25242644.603147, 4.921973
64, 6, 03, -343021.474766, 0.302833, -25242644.603147, 4.921371
64, 6, 04, -343021.474766, 0.363058, -25242644.603147, 4.933776
64, 6, 05, -343021.474766, 0.340869, -25242644.603147, 4.920188
64, 6, 06, -343021.474766, 0.311406, -25242644.603147, 4.920433
64, 6, 07, -343021.474766, 0.306515, -25242644.603147, 4.921717
