num_threads, kind, chunksize, reps, res1, t1, res2, t2
4, 3, 8, 03, -343021.474766, 0.451202, -25242644.603147, 5.443994
4, 3, 8, 04, -343021.474766, 0.441458, -25242644.603147, 5.443198
4, 3, 8, 05, -343021.474766, 0.445261, -25242644.603147, 5.442934
4, 3, 8, 06, -343021.474766, 0.438563, -25242644.603147, 5.443387
4, 3, 8, 07, -343021.474766, 0.441569, -25242644.603147, 5.443906
4, 3, 8, 08, -343021.474766, 0.452416, -25242644.603147, 5.453960
4, 3, 8, 09, -343021.474766, 0.444654, -25242644.603147, 5.443404
4, 3, 8, 10, -343021.474766, 0.457716, -25242644.603147, 5.444554
4, 3, 16, 01, -343021.474766, 0.458958, -25242644.603147, 5.442896
4, 3, 16, 02, -343021.474766, 0.437563, -25242644.603147, 5.442778
4, 3, 16, 03, -343021.474766, 0.443792, -25242644.603147, 5.443582
4, 3, 16, 04, -343021.474766, 0.447986, -25242644.603147, 5.442240
4, 3, 16, 05, -343021.474766, 0.441785, -25242644.603147, 5.444942
4, 3, 16, 06, -343021.474766, 0.435749, -25242644.603147, 5.444746
4, 3, 16, 07, -343021.474766, 0.442481, -25242644.603147, 5.444361
4, 3, 16, 08, -343021.474766, 0.445299, -25242644.603147, 5.444722
4, 3, 16, 09, -343021.474766, 0.445872, -25242644.603147, 5.443789
4, 3, 16, 10, -343021.474766, 0.449901, -25242644.603147, 5.443548
4, 3, 32, 01, -343021.474766, 0.447339, -25242644.603147, 5.444134
4, 3, 32, 02, -343021.474766, 0.453085, -25242644.603147, 5.445249
4, 3, 32, 03, -343021.474766, 0.454288, -25242644.603147, 5.444165
4, 3, 32, 04, -343021.474766, 0.455866, -25242644.603147, 5.443328
4, 3, 32, 05, -343021.474766, 0.447739, -25242644.603147, 5.443147
4, 3, 32, 06, -343021.474766, 0.432346, -25242644.603147, 5.442093
4, 3, 32, 07, -343021.474766, 0.444280, -25242644.603147, 5.444009
4, 3, 32, 08, -343021.474766, 0.438564, -25242644.603147, 5.443250
4, 3, 32, 09, -343021.474766, 0.457043, -25242644.603147, 5.444317
4, 3, 32, 10, -343021.474766, 0.445718, -25242644.603147, 5.445892
4, 3, 64, 01, -343021.474766, 0.460199, -25242644.603147, 5.442342
4, 3, 64, 02, -343021.474766, 0.438117, -25242644.603147, 5.445031
4, 3, 64, 03, -343021.474766, 0.454519, -25242644.603147, 5.444563
4, 3, 64, 04, -343021.474766, 0.459480, -25242644.603147, 5.442409
4, 3, 64, 05, -343021.474766, 0.476352, -25242644.603147, 5.444613
4, 3, 64, 06, -343021.474766, 0.453921, -25242644.603147, 5.442334
