num_threads, kind, chunksize, reps, t1, res1, t2, res2 
4, 2, 2, 01, -343021.474766, 0.467084, -25242644.603147, 2.450834
4, 2, 2, 02, -343021.474766, 0.460786, -25242644.603147, 2.470448
4, 2, 2, 03, -343021.474766, 0.453402, -25242644.603147, 2.448342
4, 2, 2, 04, -343021.474766, 0.449840, -25242644.603147, 2.459288
4, 2, 2, 05, -343021.474766, 0.563294, -25242644.603147, 2.463618
4, 2, 2, 06, -343021.474766, 0.472214, -25242644.603147, 2.474588
4, 2, 2, 07, -343021.474766, 0.458988, -25242644.603147, 2.477471
4, 2, 2, 08, -343021.474766, 0.461392, -25242644.603147, 2.434062
4, 2, 2, 09, -343021.474766, 0.463741, -25242644.603147, 2.455568
4, 2, 2, 10, -343021.474766, 0.454454, -25242644.603147, 2.459356
4, 2, 4, 01, -343021.474766, 0.465990, -25242644.603147, 2.389648
4, 2, 4, 02, -343021.474766, 0.457998, -25242644.603147, 2.387414
4, 2, 4, 03, -343021.474766, 0.447284, -25242644.603147, 2.391549
4, 2, 4, 04, -343021.474766, 0.456518, -25242644.603147, 2.373272
4, 2, 4, 05, -343021.474766, 0.456918, -25242644.603147, 2.380327
4, 2, 4, 06, -343021.474766, 0.455708, -25242644.603147, 2.375415
4, 2, 4, 07, -343021.474766, 0.463858, -25242644.603147, 2.385858
4, 2, 4, 08, -343021.474766, 0.455768, -25242644.603147, 2.395961
4, 2, 4, 09, -343021.474766, 0.447514, -25242644.603147, 2.391720
4, 2, 4, 10, -343021.474766, 0.459006, -25242644.603147, 2.383046
4, 2, 8, 01, -343021.474766, 0.458002, -25242644.603147, 2.214652
4, 2, 8, 02, -343021.474766, 0.548607, -25242644.603147, 2.962665
4, 2, 8, 03, -343021.474766, 0.449321, -25242644.603147, 2.211951
4, 2, 8, 04, -343021.474766, 0.426465, -25242644.603147, 2.209439
4, 2, 8, 05, -343021.474766, 0.452953, -25242644.603147, 2.213813
4, 2, 8, 06, -343021.474766, 0.462575, -25242644.603147, 2.211605
4, 2, 8, 07, -343021.474766, 0.446144, -25242644.603147, 2.214969
4, 2, 8, 08, -343021.474766, 0.543862, -25242644.603147, 2.215247
4, 2, 8, 09, -343021.474766, 0.444299, -25242644.603147, 2.210006
4, 2, 8, 10, -343021.474766, 0.441383, -25242644.603147, 2.210697
4, 2, 16, 01, -343021.474766, 0.444856, -25242644.603147, 2.203875
4, 2, 16, 02, -343021.474766, 0.542328, -25242644.603147, 2.205838
4, 2, 16, 03, -343021.474766, 0.454673, -25242644.603147, 2.204113
4, 2, 16, 04, -343021.474766, 0.448540, -25242644.603147, 2.204002
4, 2, 16, 05, -343021.474766, 0.440249, -25242644.603147, 2.219134
4, 2, 16, 06, -343021.474766, 0.440136, -25242644.603147, 2.204117
4, 2, 16, 07, -343021.474766, 0.443025, -25242644.603147, 2.203801
4, 2, 16, 08, -343021.474766, 0.454037, -25242644.603147, 2.204508
4, 2, 16, 09, -343021.474766, 0.448627, -25242644.603147, 2.217565
4, 2, 16, 10, -343021.474766, 0.448984, -25242644.603147, 2.203421
4, 2, 32, 01, -343021.474766, 0.445105, -25242644.603147, 3.879427
4, 2, 32, 02, -343021.474766, 0.443530, -25242644.603147, 3.880609
4, 2, 32, 03, -343021.474766, 0.454436, -25242644.603147, 3.881163
4, 2, 32, 04, -343021.474766, 0.436209, -25242644.603147, 3.879026
4, 2, 32, 05, -343021.474766, 0.450521, -25242644.603147, 3.877810
4, 2, 32, 06, -343021.474766, 0.455181, -25242644.603147, 3.880117
4, 2, 32, 07, -343021.474766, 0.446875, -25242644.603147, 3.880112
4, 2, 32, 08, -343021.474766, 0.443892, -25242644.603147, 3.878733
4, 2, 32, 09, -343021.474766, 0.443788, -25242644.603147, 3.880658
4, 2, 32, 10, -343021.474766, 0.441346, -25242644.603147, 3.879214
4, 2, 64, 01, -343021.474766, 0.468864, -25242644.603147, 4.915710
4, 2, 64, 02, -343021.474766, 0.474502, -25242644.603147, 4.915298
4, 2, 64, 03, -343021.474766, 0.472467, -25242644.603147, 4.914880
4, 2, 64, 04, -343021.474766, 0.474407, -25242644.603147, 4.914642
4, 2, 64, 05, -343021.474766, 0.480200, -25242644.603147, 4.913485
4, 2, 64, 06, -343021.474766, 0.483926, -25242644.603147, 4.916458
4, 2, 64, 07, -343021.474766, 0.473903, -25242644.603147, 4.913903
4, 2, 64, 08, -343021.474766, 0.473582, -25242644.603147, 4.913351
4, 2, 64, 09, -343021.474766, 0.464885, -25242644.603147, 4.913740
4, 2, 64, 10, -343021.474766, 0.477053, -25242644.603147, 4.914201
4, 3, 1, 01, -343021.474766, 0.444451, -25242644.603147, 5.432859
4, 3, 1, 02, -343021.474766, 0.450543, -25242644.603147, 5.432306
4, 3, 1, 03, -343021.474766, 0.449880, -25242644.603147, 5.431629
4, 3, 1, 04, -343021.474766, 0.439438, -25242644.603147, 5.431243
